geoid,county,type,source,as_of,filing_announced
45075011400,Orangeburg,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45077010805,Pickens,Non-rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45077010806,Pickens,Non-rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45079001300,Richland,Non-rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45079001600,Richland,Non-rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45079002800,Richland,Non-rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45079003100,Richland,Non-rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45079010304,Richland,Non-rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45079010803,Richland,Non-rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45079011608,Richland,Non-rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45079011702,Richland,Non-rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45079012000,Richland,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45081960202,Saluda,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45083020702,Spartanburg,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45083021001,Spartanburg,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45083021600,Spartanburg,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45083022202,Spartanburg,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45083023302,Spartanburg,Non-rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
