market,state,county,geoid,place_or_corridor,rural,status,lat,lon,notes
Atlanta,Georgia,Cobb,13067030912,Cobb County urban-eligible tract,N,Eligible — not designated,33.9399249,-84.5563214,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Cobb,13067031001,Cobb County urban-eligible tract,N,Eligible — not designated,33.9140637,-84.5138531,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Cobb,13067031004,Cobb County urban-eligible tract,N,Eligible — not designated,33.8929788,-84.5559847,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Cobb,13067031006,Cobb County urban-eligible tract,N,Eligible — not designated,33.9067538,-84.5527644,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Cobb,13067031007,Cobb County urban-eligible tract,N,Eligible — not designated,33.9110589,-84.5626895,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Cobb,13067031101,Cobb County urban-eligible tract,N,Eligible — not designated,33.8927434,-84.5284027,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Cobb,13067031119,Cobb County urban-eligible tract,N,Eligible — not designated,33.8739171,-84.5760121,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Cobb,13067031308,Cobb County urban-eligible tract,N,Eligible — not designated,33.8057071,-84.583555,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Cobb,13067031318,Cobb County urban-eligible tract,N,Eligible — not designated,33.7863383,-84.5604073,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Cobb,13067031320,Cobb County urban-eligible tract,N,Eligible — not designated,33.7781145,-84.5861869,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Cobb,13067031321,Cobb County urban-eligible tract,N,Eligible — not designated,33.7658488,-84.5739412,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Cobb,13067031409,Cobb County urban-eligible tract,N,Eligible — not designated,33.8372094,-84.6426281,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Cobb,13067031411,Cobb County urban-eligible tract,N,Eligible — not designated,33.8653647,-84.6209497,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Cobb,13067031413,Cobb County urban-eligible tract,N,Eligible — not designated,33.8495653,-84.6167465,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Cobb,13067031417,Cobb County urban-eligible tract,N,Eligible — not designated,33.8112452,-84.6381022,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Coweta,13077170307,Coweta County urban-eligible tract,N,Eligible — not designated,33.3825732,-84.7714572,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,Coweta,13077170605,Coweta County urban-eligible tract,N,Eligible — not designated,33.3493998,-84.800541,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089020600,DeKalb County urban-eligible tract,N,Eligible — not designated,33.7576172,-84.3356822,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089020902,DeKalb County urban-eligible tract,N,Eligible — not designated,33.7307727,-84.3317481,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089021204,DeKalb County urban-eligible tract,N,Eligible — not designated,33.8818233,-84.2990892,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089021301,DeKalb County urban-eligible tract,N,Eligible — not designated,33.9071668,-84.2895375,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089021306,DeKalb County urban-eligible tract,N,Eligible — not designated,33.918956,-84.2743604,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
